"ø","short","[œ]","[ø]","[ʁœ], [ʁɶ]","[ɶɐ]"
"å","long","[oː]","[ɔː]","[ʁɔː]","[ɒː]"
"å","short","[ɔ]","[ʌ]","[ʁʌ]","[ɒː]"
"Grapheme","Danish","Danish","Danish","Norwegian","Norwegian","Norwegian"
"","In stressed onset","Elsewhere (single)","Elsewhere (double)","In stressed onset","Elsewhere","/!\ This cell is not defined /!\"
"b","[b̥]","[b̥, ʊ̯]","[b̥]","[b]","[b]","/!\ This cell is not defined /!\"
"d","[d̥]","[ð̪]","[ð̪]","[d]","[d]","/!\ This cell is not defined /!\"
"g","[ɡ̊]","[-, ɪ̯, ʊ̯]","[ɡ̊]","[ɡ]","[ɡ]","/!\ This cell is not defined /!\"
"k","[kʰ]","[ɡ̊]","[ɡ̊]","[kʰ]","[k]","/!\ This cell is not defined /!\"
"p","[pʰ]","[b̥]","[b̥]","[pʰ]","[p]","/!\ This cell is not defined /!\"
"r","[ʁ]","[ɐ̯, -]","[r]","[r]","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"t","[tˢ]","[d̥]","[d̥]","[tʰ]","[t]","/!\ This cell is not defined /!\"
"v","[ʋ]","[ʊ̯]","[ʊ̯]","[ʋ]","[ʋ]","/!\ This cell is not defined /!\"
"English","Danish","Norwegian"
"afraid","bange, (arch., dial.:) ræd","redd, but also bange (archaic, mostly used in standard expressions like ""bange anelser"")"
"afterwards","bagefter, derefter","etterpå, efterpå (conservative), deretter/derefter"
"angry","vred","sint, vred (archaic)"
"autumn","efterår, (poet.:) høst","høst, etterår/efterår (archaic)"
"be correct, hold true","passe, stemme","stemme"
"boy","dreng, (colloquial:) gut","gutt, dreng (archaic or used in a more narrow sense)"
"breakfast","morgenmad","frokost"
"breathe","ånde","puste, ånde"
"cinema","biograf","kino"
"to comb (verb)","rede","gre(ie), kjemme"
"decade","årti, tiår","tiår, årti"
"easy","nem, let","let, nem"
"evening","aften, (poet.:) kvæld","kveld, aften"
"difficult","svær, vanskelig","vanskelig"
"fact","kendsgerning, faktum","faktum, kjennsgjerning"
"fast, quick(ly)","hurtig, rask","fort (adv), rask (adj), hurtig"
"floor (storey)","sal, etage","etasje"
"frog","frø","frosk"
"fun","sjov","moro, gøy"
"hesitate","tøve, nøle","nøle"
"girl","pige","jente, pike"
"good","god(t)","bra, god(t)"
"healthy","rask, sund, frisk","frisk"
"hydrogen","brint, hydrogen","hydrogen, vannstoff (archaic)"
"..., isn't it?/didn't he? etc.","..., ikke/vel? ikke sandt?, ikke også?","..., ikke sant?"
"jealous","jaloux, skinsyg, misundelig","sjalu, misunnelig"
"last year","sidste år, i fjor","i fjor"
"like (vb. enjoy)","kunne lide","like"
"lunch","frokost","lunsj (alt. lønsj or lunch), formiddagsmat"
"moustache","overskæg","bart, overskjegg"
"oxygen","ilt, oxygen","oksygen, surstoff"
"potato","kartoffel","potet"
"rubbish (nonsense)","sludder, vrøvl, vås, nonsens","sludder, vrøvl, nonsens, tull, tøys, vås"
"satisfied/pleased","tilfreds, fornøjet","fornøyd, tilfreds"
"sheep","får","sau, smale (archaic/dialectal), får (archaic/dialectal, used in expressions/ fixed phrases )"
"short (person)","lille, lav","kort, lav"
"sometimes","somme tider, (colloquial:) nogle gange, af og til, indimellem,","iblant, av og til, innimellom"
"spring(time)","forår, (poet.:) vår","vår, forår (archaic)"
"still (yet)","stadigvæk, fremdeles (archaic), fortsat","fremdeles, fortsatt"
"team","hold","lag"
"there, thither (about direction)","derhen","dit, dithen"
"toad","tudse","padde"
"ugly","grim, (ethically:) styg","stygg, grim (archaic)"
"usual","sædvanlig, vanlig (archaic)","vanlig, sedvanlig"
"[earth]worm","orm","[meite]makk, [mete]mark, orm (Ambiguous, could mean both worm and snake, cf. wyrm.)"
"wrong","forkert, gal(t)","gal(t), feil"
"Word","Danish meaning","Norwegian meaning"
"grine","laugh","cry (both words cognates with English ""grin"")"
"kuk","mess, problem","penis (vulgar)"
"bolle","sexual intercourse/bun","bun (however, can be used for sexual intercourse in some areas)"
"rask","healthy/fast","fast (adj.) or litter (garbage)"
"svær","difficult/obese","large"
"kneppe","to fuck","to button/unbutton"
"flink","nice","skilled, clever"
"rar","kind, nice","strange, weird"
